t	S	I	R
4.12	997.983	1.50769	0.50923
4.13	997.98	1.5092	0.510738
4.14	997.977	1.5107	0.512247
4.15	997.974	1.5122	0.513758
4.16	997.971	1.51371	0.51527
4.17	997.968	1.51522	0.516784
4.18	997.965	1.51673	0.518299
4.19	997.962	1.51824	0.519815
4.2	997.959	1.51975	0.521334
4.21	997.956	1.52126	0.522853
4.22	997.953	1.52278	0.524375
4.23	997.95	1.52429	0.525897
4.24	997.947	1.52581	0.527422
4.25	997.944	1.52733	0.528948
4.26	997.941	1.52885	0.530475
4.27	997.938	1.53038	0.532004
4.28	997.935	1.5319	0.533534
4.29	997.932	1.53343	0.535066
4.3	997.928	1.53495	0.536599
4.31	997.925	1.53648	0.538134
4.32	997.922	1.53801	0.539671
4.33	997.919	1.53954	0.541209
4.34	997.916	1.54108	0.542748
4.35	997.913	1.54261	0.54429
4.36	997.91	1.54415	0.545832
4.37	997.907	1.54568	0.547376
4.38	997.904	1.54722	0.548922
4.39	997.901	1.54876	0.550469
4.4	997.898	1.55031	0.552018
4.41	997.895	1.55185	0.553568
4.42	997.891	1.5534	0.55512
4.43	997.888	1.55494	0.556674
4.44	997.885	1.55649	0.558228
4.45	997.882	1.55804	0.559785
4.46	997.879	1.55959	0.561343
4.47	997.876	1.56115	0.562903
4.48	997.873	1.5627	0.564464
4.49	997.87	1.56426	0.566026
4.5	997.867	1.56581	0.567591
4.51	997.863	1.56737	0.569156
4.52	997.86	1.56893	0.570724
4.53	997.857	1.5705	0.572293
4.54	997.854	1.57206	0.573863
4.55	997.851	1.57362	0.575435
4.56	997.848	1.57519	0.577009
4.57	997.845	1.57676	0.578584
4.58	997.842	1.57833	0.580161
4.59	997.838	1.5799	0.581739
4.6	997.835	1.58147	0.583319
4.61	997.832	1.58305	0.584901
4.62	997.829	1.58463	0.586484
4.63	997.826	1.5862	0.588068
4.64	997.823	1.58778	0.589655
4.65	997.819	1.58936	0.591242
4.66	997.816	1.59095	0.592832
4.67	997.813	1.59253	0.594423
4.68	997.81	1.59412	0.596015
4.69	997.807	1.5957	0.597609
4.7	997.804	1.59729	0.599205
4.71	997.8	1.59888	0.600802
4.72	997.797	1.60047	0.602401
4.73	997.794	1.60207	0.604002
4.74	997.791	1.60366	0.605604
4.75	997.788	1.60526	0.607207
4.76	997.784	1.60686	0.608813
4.77	997.781	1.60846	0.610419
4.78	997.778	1.61006	0.612028
4.79	997.775	1.61166	0.613638
4.8	997.771	1.61326	0.61525
4.81	997.768	1.61487	0.616863
4.82	997.765	1.61648	0.618478
4.83	997.762	1.61809	0.620094
4.84	997.759	1.6197	0.621712
4.85	997.755	1.62131	0.623332
4.86	997.752	1.62293	0.624953
4.87	997.749	1.62454	0.626576
4.88	997.746	1.62616	0.628201
4.89	997.742	1.62778	0.629827
4.9	997.739	1.6294	0.631455
4.91	997.736	1.63102	0.633084
4.92	997.733	1.63264	0.634715
4.93	997.729	1.63427	0.636348
4.94	997.726	1.63589	0.637982
4.95	997.723	1.63752	0.639618
4.96	997.72	1.63915	0.641255
4.97	997.716	1.64079	0.642895
4.98	997.713	1.64242	0.644535
4.99	997.71	1.64405	0.646178
5	997.706	1.64569	0.647822
5.01	997.703	1.64733	0.649468
5.02	997.7	1.64897	0.651115
5.03	997.697	1.65061	0.652764
5.04	997.693	1.65225	0.654414
5.05	997.69	1.6539	0.656067
5.06	997.687	1.65554	0.657721
5.07	997.683	1.65719	0.659376
5.08	997.68	1.65884	0.661033
5.09	997.677	1.66049	0.662692
5.1	997.674	1.66214	0.664353
5.11	997.67	1.6638	0.666015
5.12	997.667	1.66545	0.667679
5.13	997.664	1.66711	0.669344
5.14	997.66	1.66877	0.671011
5.15	997.657	1.67043	0.67268
5.16	997.654	1.6721	0.67435
5.17	997.65	1.67376	0.676023
5.18	997.647	1.67543	0.677696
5.19	997.644	1.67709	0.679372
5.2	997.64	1.67876	0.681049
5.21	997.637	1.68043	0.682728
5.22	997.633	1.68211	0.684408
5.23	997.63	1.68378	0.68609
5.24	997.627	1.68546	0.687774
5.25	997.623	1.68713	0.689459
5.26	997.62	1.68881	0.691146
5.27	997.617	1.69049	0.692835
5.28	997.613	1.69218	0.694526
5.29	997.61	1.69386	0.696218
5.3	997.607	1.69555	0.697912
5.31	997.603	1.69723	0.699607
5.32	997.6	1.69892	0.701305
5.33	997.596	1.70061	0.703003
5.34	997.593	1.7023	0.704704
5.35	997.59	1.704	0.706406
5.36	997.586	1.70569	0.70811
5.37	997.583	1.70739	0.709816
5.38	997.579	1.70909	0.711523
5.39	997.576	1.71079	0.713233
5.4	997.573	1.71249	0.714943
5.41	997.569	1.7142	0.716656
5.42	997.566	1.7159	0.71837
5.43	997.562	1.71761	0.720086
5.44	997.559	1.71932	0.721804
5.45	997.555	1.72103	0.723523
5.46	997.552	1.72275	0.725244
5.47	997.549	1.72446	0.726967
5.48	997.545	1.72618	0.728691
5.49	997.542	1.72789	0.730417
5.5	997.538	1.72961	0.732145
5.51	997.535	1.73133	0.733875
5.52	997.531	1.73306	0.735606
5.53	997.528	1.73478	0.737339
5.54	997.524	1.73651	0.739074
5.55	997.521	1.73823	0.740811
5.56	997.517	1.73996	0.742549
5.57	997.514	1.7417	0.744289
5.58	997.511	1.74343	0.74603
5.59	997.507	1.74516	0.747774
5.6	997.504	1.7469	0.749519
5.61	997.5	1.74864	0.751266
5.62	997.497	1.75038	0.753015
5.63	997.493	1.75212	0.754765
5.64	997.49	1.75386	0.756517
5.65	997.486	1.75561	0.758271
5.66	997.483	1.75735	0.760026
5.67	997.479	1.7591	0.761784
5.68	997.476	1.76085	0.763543
5.69	997.472	1.76261	0.765304
5.7	997.469	1.76436	0.767066
5.71	997.465	1.76611	0.768831
5.72	997.462	1.76787	0.770597
5.73	997.458	1.76963	0.772365
5.74	997.454	1.77139	0.774134
5.75	997.451	1.77315	0.775906
5.76	997.447	1.77492	0.777679
5.77	997.444	1.77668	0.779454
5.78	997.44	1.77845	0.781231
5.79	997.437	1.78022	0.783009
5.8	997.433	1.78199	0.784789
5.81	997.43	1.78376	0.786571
5.82	997.426	1.78554	0.788355
5.83	997.423	1.78732	0.790141
5.84	997.419	1.78909	0.791928
5.85	997.415	1.79087	0.793717
5.86	997.412	1.79266	0.795508
5.87	997.408	1.79444	0.7973
5.88	997.405	1.79622	0.799095
5.89	997.401	1.79801	0.800891
5.9	997.398	1.7998	0.802689
5.91	997.394	1.80159	0.804489
5.92	997.39	1.80338	0.806291
5.93	997.387	1.80518	0.808094
5.94	997.383	1.80697	0.809899
5.95	997.38	1.80877	0.811706
5.96	997.376	1.81057	0.813515
5.97	997.372	1.81237	0.815325
5.98	997.369	1.81417	0.817138
5.99	997.365	1.81598	0.818952
6	997.361	1.81778	0.820768
6.01	997.358	1.81959	0.822586
6.02	997.354	1.8214	0.824405
6.03	997.351	1.82321	0.826227
6.04	997.347	1.82503	0.82805
6.05	997.343	1.82684	0.829875
6.06	997.34	1.82866	0.831702
6.07	997.336	1.83048	0.83353
6.08	997.332	1.8323	0.835361
6.09	997.329	1.83412	0.837193
6.1	997.325	1.83595	0.839027
6.11	997.321	1.83777	0.840863
6.12	997.318	1.8396	0.842701
6.13	997.314	1.84143	0.844541
6.14	997.31	1.84326	0.846382
6.15	997.307	1.84509	0.848225
6.16	997.303	1.84693	0.85007
6.17	997.299	1.84877	0.851917
6.18	997.296	1.85061	0.853766
6.19	997.292	1.85245	0.855617
6.2	997.288	1.85429	0.857469
6.21	997.285	1.85613	0.859323
6.22	997.281	1.85798	0.86118
6.23	997.277	1.85983	0.863038
6.24	997.273	1.86168	0.864897
6.25	997.27	1.86353	0.866759
6.26	997.266	1.86538	0.868623
6.27	997.262	1.86724	0.870488
6.28	997.259	1.86909	0.872355
6.29	997.255	1.87095	0.874224
6.3	997.251	1.87281	0.876095
6.31	997.247	1.87468	0.877968
6.32	997.244	1.87654	0.879843
6.33	997.24	1.87841	0.881719
6.34	997.236	1.88027	0.883598
6.35	997.232	1.88214	0.885478
6.36	997.229	1.88402	0.88736
6.37	997.225	1.88589	0.889244
6.38	997.221	1.88776	0.89113
6.39	997.217	1.88964	0.893018
6.4	997.214	1.89152	0.894907
6.41	997.21	1.8934	0.896799
6.42	997.206	1.89528	0.898692
6.43	997.202	1.89717	0.900588
6.44	997.198	1.89906	0.902485
6.45	997.195	1.90094	0.904384
6.46	997.191	1.90283	0.906285
6.47	997.187	1.90473	0.908188
6.48	997.183	1.90662	0.910092
6.49	997.179	1.90852	0.911999
6.5	997.176	1.91041	0.913907
6.51	997.172	1.91231	0.915818
6.52	997.168	1.91422	0.91773
6.53	997.164	1.91612	0.919644
6.54	997.16	1.91802	0.921561
6.55	997.157	1.91993	0.923479
6.56	997.153	1.92184	0.925399
6.57	997.149	1.92375	0.92732
6.58	997.145	1.92566	0.929244
6.59	997.141	1.92758	0.93117
6.6	997.137	1.9295	0.933097
6.61	997.134	1.93141	0.935027
6.62	997.13	1.93333	0.936958
6.63	997.126	1.93526	0.938892
6.64	997.122	1.93718	0.940827
6.65	997.118	1.93911	0.942764
6.66	997.114	1.94103	0.944703
6.67	997.11	1.94296	0.946644
6.68	997.107	1.9449	0.948587
6.69	997.103	1.94683	0.950532
6.7	997.099	1.94877	0.952479
6.71	997.095	1.9507	0.954428
6.72	997.091	1.95264	0.956378
6.73	997.087	1.95458	0.958331
6.74	997.083	1.95653	0.960286
6.75	997.079	1.95847	0.962242
6.76	997.075	1.96042	0.964201
6.77	997.071	1.96237	0.966161
6.78	997.068	1.96432	0.968123
6.79	997.064	1.96627	0.970088
6.8	997.06	1.96823	0.972054
6.81	997.056	1.97018	0.974022
6.82	997.052	1.97214	0.975992
6.83	997.048	1.9741	0.977964
6.84	997.044	1.97606	0.979939
6.85	997.04	1.97803	0.981915
6.86	997.036	1.97999	0.983893
6.87	997.032	1.98196	0.985873
6.88	997.028	1.98393	0.987855
6.89	997.024	1.98591	0.989839
6.9	997.02	1.98788	0.991824
6.91	997.016	1.98986	0.993812
6.92	997.012	1.99183	0.995802
6.93	997.008	1.99381	0.997794
6.94	997.004	1.9958	0.999788
6.95	997	1.99778	1.00178
6.96	996.996	1.99977	1.00378
6.97	996.992	2.00175	1.00578
6.98	996.988	2.00374	1.00778
6.99	996.984	2.00573	1.00979
7	996.98	2.00773	1.01179
7.01	996.976	2.00972	1.0138
7.02	996.972	2.01172	1.01581
7.03	996.968	2.01372	1.01782
7.04	996.964	2.01572	1.01984
7.05	996.96	2.01773	1.02185
7.06	996.956	2.01973	1.02387
7.07	996.952	2.02174	1.02589
7.08	996.948	2.02375	1.02791
7.09	996.944	2.02576	1.02993
7.1	996.94	2.02777	1.03196
7.11	996.936	2.02979	1.03399
7.12	996.932	2.03181	1.03602
7.13	996.928	2.03382	1.03805
7.14	996.924	2.03585	1.04008
7.15	996.92	2.03787	1.04212
7.16	996.916	2.03989	1.04416
7.17	996.912	2.04192	1.0462
7.18	996.908	2.04395	1.04824
7.19	996.904	2.04598	1.05028
7.2	996.9	2.04802	1.05233
7.21	996.896	2.05005	1.05438
7.22	996.891	2.05209	1.05643
7.23	996.887	2.05413	1.05848
7.24	996.883	2.05617	1.06053
7.25	996.879	2.05821	1.06259
7.26	996.875	2.06026	1.06465
7.27	996.871	2.06231	1.06671
7.28	996.867	2.06435	1.06877
7.29	996.863	2.06641	1.07083
7.3	996.859	2.06846	1.0729
7.31	996.855	2.07052	1.07497
7.32	996.85	2.07257	1.07704
7.33	996.846	2.07463	1.07911
7.34	996.842	2.07669	1.08119
7.35	996.838	2.07876	1.08326
7.36	996.834	2.08082	1.08534
7.37	996.83	2.08289	1.08742
7.38	996.826	2.08496	1.08951
7.39	996.821	2.08703	1.09159
7.4	996.817	2.08911	1.09368
7.41	996.813	2.09118	1.09577
7.42	996.809	2.09326	1.09786
7.43	996.805	2.09534	1.09995
7.44	996.801	2.09742	1.10205
7.45	996.796	2.09951	1.10414
7.46	996.792	2.10159	1.10624
7.47	996.788	2.10368	1.10835
7.48	996.784	2.10577	1.11045
7.49	996.78	2.10786	1.11255
7.5	996.775	2.10996	1.11466
7.51	996.771	2.11205	1.11677
7.52	996.767	2.11415	1.11888
7.53	996.763	2.11625	1.121
7.54	996.759	2.11835	1.12311
7.55	996.754	2.12046	1.12523
7.56	996.75	2.12257	1.12735
7.57	996.746	2.12467	1.12948
7.58	996.742	2.12678	1.1316
